,date,1. open,2. high,3. low,4. close,5. volume
299,2020-02-11 10:35:00,322.1898,322.426,322.13,322.18,276909.0
1138,2020-01-27 12:05:00,309.406,309.8637,309.3533,309.6261,286614.0
1137,2020-01-27 12:10:00,309.585,310.27,309.53,310.23,445557.0
684,2020-02-04 11:00:00,317.38,317.53,317.03,317.48,337143.0
190,2020-02-12 13:10:00,325.08,325.21,324.759,324.87,293178.0
533,2020-02-06 10:35:00,320.52,320.95,320.39,320.91,298817.0
542,2020-02-06 09:50:00,321.5404,322.2625,321.3824,321.8637,417695.0
843,2020-01-31 10:45:00,315.726,316.81,315.6701,315.78,617628.0
225,2020-02-12 10:15:00,322.5271,322.8,322.48,322.6,401378.0
497,2020-02-06 13:35:00,323.695,324.0,323.6456,323.98,259429.0
937,2020-01-29 15:55:00,325.08,325.26,324.43,324.5,902333.0
588,2020-02-05 12:30:00,321.29,321.47,321.0807,321.36,174348.0
959,2020-01-29 14:05:00,326.6806,328.16900000000004,326.5674,327.8106,914731.0
685,2020-02-04 10:55:00,316.46,317.45,316.46,317.35,428452.0
677,2020-02-04 11:35:00,318.09,319.0656,317.9306,319.05,572686.0
1026,2020-01-28 15:00:00,317.69,318.37,317.6862,318.35,485866.0
521,2020-02-06 11:35:00,322.51,322.85,322.48,322.83,221582.0
1090,2020-01-28 09:40:00,313.3926,313.9405,313.2098,313.2199,778589.0
1041,2020-01-28 13:45:00,316.26,316.45,316.23,316.38,165738.0
22,2020-02-14 14:10:00,324.42,324.44,324.12,324.26,121171.0
389,2020-02-10 09:35:00,314.1913,317.7749,314.1416,317.4914,2896376.0
559,2020-02-05 14:55:00,320.96,321.5,320.95,321.4925,337106.0
605,2020-02-05 11:05:00,320.7529,321.4376,320.697,320.7529,428218.0
414,2020-02-07 14:00:00,321.33,321.42,320.71,320.74,299392.0
1081,2020-01-28 10:25:00,313.0117,313.5936,312.8028,313.3072,380956.0
1155,2020-01-27 10:40:00,310.12,310.8,310.07,310.5201,386154.0
828,2020-01-31 12:00:00,316.12,316.83,316.09,316.77,282952.0
935,2020-01-30 09:35:00,320.5482,323.3998,320.4072,323.1253,2495686.0
187,2020-02-12 13:25:00,325.17,325.18,324.7626,324.88,153301.0
284,2020-02-11 11:50:00,322.14,322.17,321.97,322.0983,176653.0
1061,2020-01-28 12:05:00,316.5324,316.58,316.33,316.445,209590.0
802,2020-01-31 14:10:00,313.3442,313.45,312.67,312.7,462586.0
1086,2020-01-28 10:00:00,313.43,313.61,312.68,312.97,605807.0
1050,2020-01-28 13:00:00,316.45,316.77,316.43,316.7,202539.0
1110,2020-01-27 14:30:00,310.8132,311.08,310.77,310.9599,163178.0
199,2020-02-12 12:25:00,324.505,324.67,324.4,324.6144,140093.0
579,2020-02-05 13:15:00,320.48,320.74,320.355,320.38,139415.0
108,2020-02-13 13:30:00,324.8345,325.28,324.8345,325.25,166040.0
557,2020-02-05 15:05:00,321.265,321.73,321.265,321.69,338850.0
420,2020-02-07 13:30:00,322.15,322.33,322.07,322.2234,170807.0
171,2020-02-12 14:45:00,325.04,325.198,325.003,325.0032,167812.0
1078,2020-01-28 10:40:00,314.4112,314.6366,314.23,314.51,455898.0
481,2020-02-06 14:55:00,324.985,325.0,324.66,324.72,138027.0
734,2020-02-03 13:20:00,306.895,307.3559,306.3851,307.017,619277.0
669,2020-02-04 12:15:00,318.0,318.38,317.82,317.97,295914.0
1117,2020-01-27 13:50:00,310.5332,310.8173,310.45,310.72,169201.0
1127,2020-01-27 13:00:00,311.41,311.48,310.91,311.18,306291.0
500,2020-02-06 13:20:00,323.86,324.0,323.69,323.78,194538.0
898,2020-01-30 12:40:00,320.86,320.94,320.07,320.14,346035.0
253,2020-02-11 14:25:00,320.86,321.28,320.52,320.58,322830.0
934,2020-01-30 09:40:00,323.1313,323.9459,323.02,323.94,883791.0
951,2020-01-29 14:45:00,327.04,327.43,326.85,326.96,270697.0
1168,2020-01-27 09:35:00,308.9731,309.7198,306.1864,309.1281,5705852.0
202,2020-02-12 12:10:00,324.49,324.55,324.27,324.3113,148697.0
939,2020-01-29 15:45:00,326.6586,326.9715,325.9756,326.0797,830809.0
31,2020-02-14 13:25:00,324.51,324.6,324.43,324.54,146797.0
243,2020-02-11 15:15:00,320.09,320.19,319.3,319.33,378095.0
867,2020-01-30 15:15:00,320.83,321.27,320.64,321.0405,269186.0
293,2020-02-11 11:05:00,322.81,323.06,322.7532,322.87,177288.0
594,2020-02-05 12:00:00,320.99,321.42,320.83,321.37,226002.0
824,2020-01-31 12:20:00,316.215,316.3775,316.09,316.2588,188670.0
315,2020-02-10 15:45:00,320.845,321.02,320.83,320.95,201731.0
54,2020-02-14 11:30:00,325.2716,325.2716,324.96,325.0999,177122.0
326,2020-02-10 14:50:00,319.76,320.3273,319.71,320.2349,301227.0
1149,2020-01-27 11:10:00,309.91,309.91,309.0,309.1638,300521.0
403,2020-02-07 14:55:00,319.5728,320.0463,319.351,319.4776,252900.0
925,2020-01-30 10:25:00,322.74,322.99,322.52,322.64,347495.0
1141,2020-01-27 11:50:00,309.5699,309.6,309.15,309.15,252879.0
38,2020-02-14 12:50:00,324.36,324.48,324.31,324.3108,103751.0
480,2020-02-06 15:00:00,324.69,324.8,324.5,324.5,159204.0
541,2020-02-06 09:55:00,321.82,321.9,321.6418,321.9,315843.0
1060,2020-01-28 12:10:00,316.46,316.75,316.46,316.61,220203.0
305,2020-02-11 10:05:00,321.7301,322.41,321.64,321.71,367023.0
49,2020-02-14 11:55:00,324.72,325.04,324.7,324.94,172196.0
835,2020-01-31 11:25:00,316.0,316.12,315.5134,315.5134,361865.0
514,2020-02-06 12:10:00,322.36,322.62,322.28,322.475,202491.0
467,2020-02-07 09:35:00,322.38,322.73,321.0255,321.0255,2171611.0
800,2020-01-31 14:20:00,312.9791,313.2134,312.36,312.4,396148.0
408,2020-02-07 14:30:00,318.76,319.75,318.66,319.6075,457749.0
435,2020-02-07 12:15:00,322.94,323.0737,322.77,323.0737,127667.0
40,2020-02-14 12:40:00,324.63,324.645,324.52299999999997,324.6445,90156.0
233,2020-02-12 09:35:00,321.665,323.16,321.53,322.9996,1709032.0
516,2020-02-06 12:00:00,322.35,322.51,321.65,321.65,357472.0
916,2020-01-30 11:10:00,319.8507,320.22,319.8001,319.9903,416715.0
736,2020-02-03 13:10:00,308.28,308.5516,307.6103,307.69,401507.0
140,2020-02-13 10:50:00,324.5,324.92,324.43,324.69,352241.0
30,2020-02-14 13:30:00,324.51,324.53,324.19,324.24,133204.0
624,2020-02-04 16:00:00,318.48,319.15,318.45,318.86,1229312.0
955,2020-01-29 14:25:00,326.93,327.24,326.62,326.6201,294906.0
191,2020-02-12 13:05:00,325.3,325.3,325.065,325.0654,250223.0
691,2020-02-04 10:25:00,315.3803,316.0625,315.3318,315.7027,467718.0
852,2020-01-31 10:00:00,317.6384,318.47,317.6384,318.42,870405.0
124,2020-02-13 12:10:00,325.2775,325.62,325.2775,325.545,155744.0
593,2020-02-05 12:05:00,321.35,321.365,321.07099999999997,321.18,141004.0
708,2020-02-03 15:30:00,308.7924,309.2058,308.6754,308.9078,293296.0
181,2020-02-12 13:55:00,324.95,324.96,324.86,324.8959,143019.0
603,2020-02-05 11:15:00,321.39,321.5,321.07,321.19,354465.0
762,2020-02-03 11:00:00,311.4691,312.42,311.46,312.3326,484208.0
827,2020-01-31 12:05:00,316.76,316.91,316.36,316.6285,299437.0
84,2020-02-13 15:30:00,325.0595,325.215,324.9,325.215,143302.0
897,2020-01-30 12:45:00,320.12,320.829,319.88,320.6601,364299.0
773,2020-02-03 10:05:00,310.8,312.0655,310.79,311.8303,1263384.0
73,2020-02-14 09:55:00,324.4201,324.47,324.07,324.3458,381147.0
424,2020-02-07 13:10:00,322.6299,322.75,322.55,322.69,120243.0
526,2020-02-06 11:10:00,321.8352,322.41900000000004,321.8084,322.0852,233701.0
107,2020-02-13 13:35:00,325.23,325.4756,325.03,325.38,113316.0
871,2020-01-30 14:55:00,320.68,321.0,320.01,320.25,246140.0
405,2020-02-07 14:45:00,319.74,320.24,319.51,319.94,298912.0
606,2020-02-05 11:00:00,320.2,321.2,319.95,320.78,516916.0
938,2020-01-29 15:50:00,326.0636,326.3637,325.0924,325.0963,886294.0
699,2020-02-04 09:45:00,315.43,315.85,314.68,314.68,849400.0
926,2020-01-30 10:20:00,323.1924,323.37,322.5837,322.7186,517494.0
772,2020-02-03 10:10:00,311.8282,312.1322,311.0211,311.4797,949522.0
300,2020-02-11 10:30:00,321.89,322.21,321.85,322.1936,202549.0
246,2020-02-11 15:00:00,320.97,321.05,320.54,320.68,164458.0
781,2020-01-31 15:55:00,309.69,310.2,309.5,309.97,1084499.0
127,2020-02-13 11:55:00,324.9002,325.1,324.8601,324.96,105360.0
1122,2020-01-27 13:25:00,311.18,311.5,311.04,311.09,222329.0
146,2020-02-13 10:20:00,325.1,325.15,324.92,324.9201,307360.0
1158,2020-01-27 10:25:00,310.2761,311.0746,309.9087,310.7461,632439.0
1156,2020-01-27 10:35:00,311.1308,311.2,310.07,310.1,401080.0
1049,2020-01-28 13:05:00,316.71,316.75,316.22,316.28,234347.0
740,2020-02-03 12:50:00,310.15,310.17,309.33,309.575,373550.0
1006,2020-01-29 10:10:00,321.9629,323.5196,321.6879,322.6617,1144225.0
462,2020-02-07 10:00:00,321.17,321.48,320.97,321.21,480764.0
498,2020-02-06 13:30:00,323.92,323.9864,323.69,323.69,157522.0
33,2020-02-14 13:15:00,324.52,325.09,324.515,324.905,246251.0
119,2020-02-13 12:35:00,325.59,325.8001,325.5069,325.58,137190.0
439,2020-02-07 11:55:00,322.66,322.74,322.44,322.7203,172902.0
219,2020-02-12 10:45:00,323.1403,323.6572,323.1067,323.1803,335632.0
391,2020-02-07 15:55:00,319.68,319.8985,319.46,319.7659,635620.0
337,2020-02-10 13:55:00,319.4125,319.53,319.38,319.45,127441.0
869,2020-01-30 15:05:00,321.0402,321.8755,320.9495,321.5462,384022.0
613,2020-02-05 10:25:00,321.85,322.14,321.5801,321.76,253786.0
1053,2020-01-28 12:45:00,316.87,316.9,316.69,316.7311,174922.0
640,2020-02-04 14:40:00,319.0424,319.36,318.995,319.17,183724.0
151,2020-02-13 09:55:00,325.13,325.681,325.12,325.6807,489632.0
814,2020-01-31 13:10:00,314.73,314.87,314.22,314.23,266161.0
1165,2020-01-27 09:50:00,309.9,310.8999,309.9,310.19,1085877.0
66,2020-02-14 10:30:00,324.27,324.928,324.246,324.9276,392206.0
608,2020-02-05 10:50:00,319.9134,320.2878,319.397,319.4334,362746.0
795,2020-01-31 14:45:00,312.4269,312.59,311.93,312.04,283083.0
1033,2020-01-28 14:25:00,317.5068,317.67,317.43,317.48,247232.0
1032,2020-01-28 14:30:00,317.485,317.51,317.06,317.12,246702.0
712,2020-02-03 15:10:00,307.66,307.805,307.44,307.62,224375.0
507,2020-02-06 12:45:00,322.89,323.385,322.89,323.3603,241877.0
1021,2020-01-28 15:25:00,317.66,318.18,317.64,318.0877,378506.0
900,2020-01-30 12:30:00,321.6501,321.72,320.83,320.9,231664.0
716,2020-02-03 14:50:00,307.76,307.88,307.58,307.8,146091.0
18,2020-02-14 14:30:00,323.97,324.26,323.94,324.13,158925.0
340,2020-02-10 13:40:00,319.87,319.88,319.68,319.79,85734.0
483,2020-02-06 14:45:00,324.66,324.95,324.645,324.94,178024.0
987,2020-01-29 11:45:00,326.54,327.0,326.46,326.6546,509876.0
423,2020-02-07 13:15:00,322.69,322.71,322.41,322.4222,128786.0
1088,2020-01-28 09:50:00,313.32,313.6756,313.0018,313.2429,563839.0
418,2020-02-07 13:40:00,321.78,322.35,321.632,321.655,233046.0
37,2020-02-14 12:55:00,324.32,324.334,324.0492,324.21,99730.0
474,2020-02-06 15:30:00,324.07,324.25,324.03,324.15,223909.0
1157,2020-01-27 10:30:00,310.7825,311.6883,310.6373,311.1625,537258.0
1054,2020-01-28 12:40:00,317.06,317.15,316.78,316.81,201763.0
94,2020-02-13 14:40:00,325.82,325.97,325.79,325.9,114069.0
261,2020-02-11 13:45:00,322.23,322.44,322.22,322.44,75712.0
172,2020-02-12 14:40:00,324.91,325.14,324.88,325.0225,113483.0
232,2020-02-12 09:40:00,323.0945,323.59,322.9493,323.59,705521.0
1139,2020-01-27 12:00:00,309.0,309.7,308.97,309.39,273328.0
336,2020-02-10 14:00:00,319.44,319.7,319.35,319.36,122572.0
830,2020-01-31 11:50:00,316.14,316.69,316.08,316.61,420741.0
1035,2020-01-28 14:15:00,317.1363,317.49,317.115,317.4199,315697.0
397,2020-02-07 15:25:00,318.7403,319.1202,318.3094,318.4803,417705.0
1163,2020-01-27 10:00:00,311.35,311.79,310.55,311.43,758970.0
890,2020-01-30 13:20:00,319.7,319.95,319.3502,319.42,172155.0
376,2020-02-10 10:40:00,318.24,319.39,318.11,319.35,560593.0
642,2020-02-04 14:30:00,319.0571,319.26,318.8901,318.8901,136849.0
965,2020-01-29 13:35:00,326.77,326.92,326.63,326.84,210150.0
270,2020-02-11 13:00:00,322.56,322.73,322.495,322.69,160455.0
589,2020-02-05 12:25:00,321.4985,321.8015,321.211,321.2684,299709.0
1160,2020-01-27 10:15:00,311.7482,312.0521,310.6475,310.8382,580653.0
486,2020-02-06 14:30:00,324.51,324.77,324.35,324.615,283464.0
874,2020-01-30 14:40:00,320.335,320.44,320.1,320.313,127604.0
64,2020-02-14 10:40:00,324.8,325.18,324.63,325.05,280811.0
1074,2020-01-28 11:00:00,315.45,315.86,315.25,315.82,476716.0
971,2020-01-29 13:05:00,326.3453,326.6526,326.1322,326.1533,405666.0
573,2020-02-05 13:45:00,320.195,320.6,320.04,320.56,139580.0
164,2020-02-12 15:20:00,325.0,325.055,324.9,325.055,208991.0
217,2020-02-12 10:55:00,323.3,323.44,323.1182,323.4132,226389.0
1150,2020-01-27 11:05:00,309.42,310.0499,309.272,309.9,417629.0
626,2020-02-04 15:50:00,317.75,318.3132,317.65,318.27,406320.0
948,2020-01-29 15:00:00,327.28,327.4,326.98,327.03,357601.0
159,2020-02-12 15:45:00,325.85,326.0,325.8301,325.9912,443779.0
650,2020-02-04 13:50:00,318.89,319.18,318.87,319.18,193495.0
291,2020-02-11 11:15:00,322.79,322.96,322.5,322.5162,191443.0
399,2020-02-07 15:15:00,319.1951,319.23,318.78,318.96,344708.0
609,2020-02-05 10:45:00,319.4084,320.2801,319.2591,319.9784,567345.0
213,2020-02-12 11:15:00,323.825,323.89,323.77,323.8101,294438.0
739,2020-02-03 12:55:00,309.5672,309.9287,308.8929,309.1861,481202.0
493,2020-02-06 13:55:00,324.3101,324.59,324.3074,324.5187,286606.0
527,2020-02-06 11:05:00,321.7102,322.3459,321.6352,321.8202,208001.0
689,2020-02-04 10:35:00,316.255,316.81,316.12,316.5319,591934.0
1116,2020-01-27 13:55:00,310.73,310.7798,310.36,310.4,155113.0
811,2020-01-31 13:25:00,313.65,314.3,313.59,313.96,308326.0
448,2020-02-07 11:10:00,322.23,322.6025,322.1232,322.43,187278.0
1012,2020-01-29 09:40:00,324.87,325.83,324.32,324.32,1901835.0
365,2020-02-10 11:35:00,319.82,320.1262,319.36,319.36,307826.0
808,2020-01-31 13:40:00,312.8804,313.3812,311.069,311.313,981623.0
963,2020-01-29 13:45:00,326.75,326.84,326.54200000000003,326.8,161733.0
547,2020-02-05 15:55:00,321.2634,321.5791,320.8383,321.2734,833720.0
635,2020-02-04 15:05:00,318.87,319.055,318.65,318.9768,183973.0
1046,2020-01-28 13:20:00,316.59,316.5958,316.3,316.44,156818.0
223,2020-02-12 10:25:00,322.9,323.117,322.61,322.63,358782.0
915,2020-01-30 11:15:00,319.9754,320.8297,319.97,320.8297,392254.0
393,2020-02-07 15:45:00,319.03,319.88,318.97,319.6281,522083.0
110,2020-02-13 13:20:00,324.67,325.24,324.4,325.22,222406.0
390,2020-02-07 16:00:00,319.75,320.08,319.69,320.04,1031691.0
747,2020-02-03 12:15:00,311.2027,311.5581,310.7303,310.9427,637749.0
817,2020-01-31 12:55:00,314.8671,315.2479,314.4473,314.7162,590809.0
537,2020-02-06 10:15:00,321.42,321.67,321.23,321.57,256623.0
776,2020-02-03 09:50:00,308.77,309.64,308.77,309.35,1223310.0
1103,2020-01-27 15:05:00,309.49,309.59,308.802,308.9891,361765.0
97,2020-02-13 14:25:00,325.43,325.59,325.41,325.51,135959.0
1023,2020-01-28 15:15:00,317.95,318.1784,317.91,318.0,363629.0
920,2020-01-30 10:50:00,321.6928,321.9989,321.3382,321.4416,529398.0
883,2020-01-30 13:55:00,319.825,320.13,319.67,320.1,156455.0
446,2020-02-07 11:20:00,322.97,323.03,322.5,322.68,273011.0
598,2020-02-05 11:40:00,320.2593,320.44,319.9,320.0,349148.0
394,2020-02-07 15:40:00,319.28,319.37,318.9,319.03,303797.0
60,2020-02-14 11:00:00,325.48,325.94,325.48,325.73,367300.0
55,2020-02-14 11:25:00,325.615,325.64,325.19,325.2883,137152.0
239,2020-02-11 15:35:00,319.1899,319.39,318.7798,318.84,332007.0
767,2020-02-03 10:35:00,312.4575,313.0496,312.3289,312.3983,508423.0
1161,2020-01-27 10:10:00,311.2701,312.0433,311.0023,311.7301,787500.0
464,2020-02-07 09:50:00,320.72,321.54,320.72,321.54,739912.0
515,2020-02-06 12:05:00,321.6454,322.37,321.54,322.36,275383.0
1108,2020-01-27 14:40:00,311.0,311.2,310.64,310.89,209641.0
303,2020-02-11 10:15:00,321.91,322.12,321.74,322.12,315722.0
726,2020-02-03 14:00:00,307.64,308.03,307.64,307.79,239296.0
777,2020-02-03 09:45:00,308.9929,309.2772,308.6266,308.8314,885420.0
262,2020-02-11 13:40:00,322.34,322.35,322.25,322.25,75646.0
1107,2020-01-27 14:45:00,310.86,310.944,310.3469,310.42,225005.0
1077,2020-01-28 10:45:00,314.52,315.04,314.4,314.89,643773.0
826,2020-01-31 12:10:00,316.62,316.684,316.37,316.635,197021.0
644,2020-02-04 14:20:00,319.3169,319.4,319.11,319.3,221037.0
35,2020-02-14 13:05:00,324.2,324.75,323.96,324.7202,260956.0
176,2020-02-12 14:20:00,324.79,325.0,324.73,324.895,151596.0
873,2020-01-30 14:45:00,320.3563,322.1333,319.8815,320.1663,809830.0
34,2020-02-14 13:10:00,324.7351,324.77,324.45,324.52,305517.0
571,2020-02-05 13:55:00,320.535,320.91,320.53,320.6789,161619.0
283,2020-02-11 11:55:00,322.1,322.21299999999997,322.08,322.0861,147948.0
742,2020-02-03 12:40:00,310.49,310.65,309.83,310.01,478040.0
218,2020-02-12 10:50:00,323.191,323.34,323.17,323.29,313047.0
369,2020-02-10 11:15:00,319.56,319.64,319.348,319.5,231921.0
222,2020-02-12 10:30:00,322.625,322.68,322.3,322.36,267081.0
1164,2020-01-27 09:55:00,309.8596,311.3168,309.8596,311.3168,738281.0
538,2020-02-06 10:10:00,321.44,321.73,321.18,321.4111,292514.0
51,2020-02-14 11:45:00,324.71,324.9899,324.625,324.812,114529.0
846,2020-01-31 10:30:00,316.78,317.1499,315.57,315.63,776257.0
1089,2020-01-28 09:45:00,313.2517,313.8038,313.2032,313.5217,636840.0
639,2020-02-04 14:45:00,319.16,319.35,319.12,319.22,167774.0
683,2020-02-04 11:05:00,317.48,317.65,317.1332,317.22,313267.0
68,2020-02-14 10:20:00,323.26,324.15,323.08,324.115,353083.0
443,2020-02-07 11:35:00,322.96,323.4,322.72,322.77,359257.0
709,2020-02-03 15:25:00,307.74,308.8,307.61,308.7688,480707.0
306,2020-02-11 10:00:00,322.46,322.55,321.77,321.77,437090.0
628,2020-02-04 15:40:00,318.12,318.5,317.88,317.97,342084.0
553,2020-02-05 15:25:00,322.25,322.5,322.16,322.3609,239032.0
706,2020-02-03 15:40:00,309.0801,309.3,308.75,308.9,313969.0
173,2020-02-12 14:35:00,324.9562,325.02,324.899,324.8993,110363.0
918,2020-01-30 11:00:00,320.38,320.43,318.8,318.96,1052049.0
3,2020-02-14 15:45:00,324.11,324.19,323.94,324.16,147183.0
1159,2020-01-27 10:20:00,310.7931,311.2892,310.2382,310.2486,592649.0
377,2020-02-10 10:35:00,318.26,318.33,318.1,318.1735,255010.0
1152,2020-01-27 10:55:00,309.21,309.55,308.94,308.95,532260.0
